iter	Passed	Remaining
0	106	106593
1	248	124017
2	410	136383
3	558	138946
4	712	141753
5	864	143216
6	1018	144436
7	1183	146726
8	1341	147738
9	1499	148467
10	1646	148037
11	1797	148012
12	1955	148455
13	2105	148268
14	2261	148487
15	2416	148601
16	2565	148356
17	2718	148293
18	2872	148336
19	3029	148434
20	3179	148208
21	3342	148601
22	3496	148511
23	3650	148448
24	3810	148606
25	3950	147992
26	4101	147812
27	4259	147850
28	4425	148189
29	4579	148068
30	4729	147822
31	4880	147629
32	5025	147266
33	5170	146910
34	5328	146914
35	5496	147173
36	5650	147064
37	5817	147264
38	5966	147024
39	6118	146843
40	6268	146628
41	6418	146403
42	6583	146513
43	6743	146514
44	6893	146296
45	7047	146149
